;movieId;title;genres;date
4763;4858;Hail Columbia!;Documentary IMAX;(1982)
10902;44153;Chronos;Documentary IMAX;(1985)
589;595;Beauty and the Beast;Animation Children Fantasy Musical Romance IMAX;(1991)
4769;4864;Titanica;Documentary IMAX;(1992)
360;364;Lion King, The;Adventure Animation Children Drama Musical IMAX;(1994)
4761;4856;Destiny in Space;Documentary IMAX;(1994)
29984;129395;Into the Deep;Documentary IMAX;(1994)
4364;4458;Africa: The Serengeti;Documentary IMAX;(1994)
13198;63781;Living Sea, The;Documentary IMAX;(1995)
148;150;Apollo 13;Adventure Drama IMAX;(1995)
32;33;Wings of Courage;Adventure Romance IMAX;(1995)
36;37;Across the Sea of Time;Documentary IMAX;(1995)
4365;4459;Alaska: Spirit of the Wild;Documentary IMAX;(1997)
4361;4455;Thrill Ride: The Science of Fun;Adventure Documentary IMAX;(1997)
4766;4861;Mission to Mir;Documentary IMAX;(1997)
1724;1797;Everest;Documentary IMAX;(1998)
4351;4445;T-Rex: Back to the Cretaceous;Adventure Documentary IMAX;(1998)
4360;4454;More;Animation Drama Sci-Fi IMAX;(1998)
4367;4461;Siegfried & Roy: The Magic Box;Documentary IMAX;(1999)
4366;4460;Encounter in the Third Dimension;IMAX;(1999)
4288;4382;Wolves;Documentary IMAX;(1999)
3073;3159;Fantasia 2000;Animation Children Musical IMAX;(1999)
4359;4453;Michael Jordan to the Max;Documentary IMAX;(2000)
9348;27456;Shackleton's Antarctic Adventure;Documentary IMAX;(2001)
4362;4456;Haunted Castle;Animation Horror IMAX;(2001)
4363;4457;All Access;Documentary Musical IMAX;(2001)
5784;5882;Treasure Planet;Adventure Animation Children Sci-Fi IMAX;(2002)
5282;5378;Star Wars: Episode II - Attack of the Clones;Action Adventure Sci-Fi IMAX;(2002)
25246;116253;IMAX: Coral Reef Adventure;Children Documentary IMAX;(2003)
6823;6934;Matrix Revolutions, The;Action Adventure Sci-Fi Thriller IMAX;(2003)
6261;6365;Matrix Reloaded, The;Action Adventure Sci-Fi Thriller IMAX;(2003)
6191;6289;Ghosts of the Abyss;Documentary IMAX;(2003)
8282;8965;Polar Express, The;Adventure Animation Children Fantasy IMAX;(2004)
7953;8636;Spider-Man 2;Action Adventure Sci-Fi IMAX;(2004)
7769;8368;Harry Potter and the Prisoner of Azkaban;Adventure Fantasy IMAX;(2004)
10186;33794;Batman Begins;Action Crime IMAX;(2005)
10620;40815;Harry Potter and the Goblet of Fire;Adventure Fantasy Thriller IMAX;(2005)
9832;32031;Robots;Adventure Animation Children Comedy Fantasy Sci-Fi IMAX;(2005)
9594;30793;Charlie and the Chocolate Factory;Adventure Children Comedy Fantasy IMAX;(2005)
9713;31429;Aliens of the Deep;Documentary IMAX;(2005)
11192;46972;Night at the Museum;Action Comedy Fantasy IMAX;(2006)
11210;47124;Ant Bully, The;Adventure Animation Children Comedy Fantasy IMAX;(2006)
11476;49274;Happy Feet;Adventure Animation Children Comedy IMAX;(2006)
11381;48414;Open Season;Adventure Animation Children Comedy IMAX;(2006)
11136;46530;Superman Returns;Action Adventure Sci-Fi IMAX;(2006)
10885;43934;Deep Sea 3D;Documentary IMAX;(2006)
11040;45442;Poseidon;Action Adventure Thriller IMAX;(2006)
10908;44191;V for Vendetta;Action Sci-Fi Thriller IMAX;(2006)
16094;81094;Mummies: Secrets of the Pharaohs (a.k.a. Mummies 3D) ;Documentary IMAX;(2007)
12263;55995;Beowulf;Action Adventure Animation Fantasy IMAX;(2007)
12293;56174;I Am Legend;Action Horror Sci-Fi Thriller IMAX;(2007)
12474;57970;U2 3D;Documentary IMAX;(2007)
12000;53996;Transformers;Action Sci-Fi Thriller IMAX;(2007)
12002;54001;Harry Potter and the Order of the Phoenix;Adventure Drama Fantasy IMAX;(2007)
11854;52722;Spider-Man 3;Action Adventure Sci-Fi Thriller IMAX;(2007)
11733;51662;300;Action Fantasy War IMAX;(2007)
13055;62081;Eagle Eye;Action Crime Thriller IMAX;(2008)
12979;61267;Fly Me to the Moon;Adventure Animation Children IMAX;(2008)
12559;58559;Dark Knight, The;Action Crime Drama IMAX;(2008)
12600;58879;Shine a Light;Documentary Musical IMAX;(2008)
12492;58105;Spiderwick Chronicles, The;Adventure Children Drama Fantasy IMAX;(2008)
12726;59784;Kung Fu Panda;Action Animation Children Comedy IMAX;(2008)
12626;59037;Speed Racer;Action Children Sci-Fi IMAX;(2008)
13134;62999;Madagascar: Escape 2 Africa;Action Adventure Animation Children Comedy IMAX;(2008)
13253;64497;Day the Earth Stood Still, The;Drama Sci-Fi Thriller IMAX;(2008)
14491;72294;Christmas Carol, A;Animation Children Drama Fantasy IMAX;(2009)
14457;72131;Michael Jackson's This Is It;Documentary Musical IMAX;(2009)
13782;68793;Night at the Museum: Battle of the Smithsonian;Action Comedy IMAX;(2009)
13983;69844;Harry Potter and the Half-Blood Prince;Adventure Fantasy Mystery Romance IMAX;(2009)
13922;69526;Transformers: Revenge of the Fallen;Action Adventure Sci-Fi IMAX;(2009)
14380;71745;Where the Wild Things Are;Adventure Children Drama Fantasy IMAX;(2009)
12894;60684;Watchmen;Action Drama Mystery Sci-Fi Thriller IMAX;(2009)
13729;68358;Star Trek;Action Adventure Sci-Fi IMAX;(2009)
14263;71264;Cloudy with a Chance of Meatballs;Animation Children Fantasy IMAX;(2009)
14652;72998;Avatar;Action Adventure Sci-Fi IMAX;(2009)
13608;67408;Monsters vs. Aliens;Animation Sci-Fi IMAX;(2009)
15607;79132;Inception;Action Crime Drama Mystery Sci-Fi Thriller IMAX;(2010)
15471;78499;Toy Story 3;Adventure Animation Children Comedy Fantasy IMAX;(2010)
15533;78772;Twilight Saga: Eclipse, The;Fantasy Romance Thriller IMAX;(2010)
15496;78637;Shrek Forever After (a.k.a. Shrek: The Final Chapter);Adventure Animation Children Comedy Fantasy IMAX;(2010)
20274;99045;Aftershock (Tangshan dadizhen);Drama IMAX;(2010)
15913;80363;Resident Evil: Afterlife;Action Horror Sci-Fi Thriller IMAX;(2010)
14999;74789;Alice in Wonderland;Adventure Fantasy IMAX;(2010)
15096;76093;How to Train Your Dragon;Adventure Animation Children Fantasy IMAX;(2010)
15388;78105;Prince of Persia: The Sands of Time;Action Adventure Fantasy Romance IMAX;(2010)
15271;77561;Iron Man 2;Action Adventure Sci-Fi Thriller IMAX;(2010)
16274;81834;Harry Potter and the Deathly Hallows: Part 1;Action Adventure Fantasy IMAX;(2010)
16174;81417;Paranormal Activity 2;Horror IMAX;(2010)
16276;81847;Tangled;Animation Children Comedy Fantasy Musical Romance IMAX;(2010)
15972;80615;Legend of the Guardians: The Owls of Ga'Hoole;Adventure Animation Fantasy IMAX;(2010)
16427;82461;Tron: Legacy;Action Adventure Sci-Fi IMAX;(2010)
16201;81564;Megamind;Action Animation Children Comedy Sci-Fi IMAX;(2010)
15966;80588;IMAX: Hubble 3D;Documentary IMAX;(2010)
18228;90647;Puss in Boots;Adventure Animation Comedy Fantasy IMAX;(2011)
18189;90526;Beginning of the Great Revival (a.k.a. The Founding of a Party);Drama IMAX;(2011)
18252;90746;Adventures of Tintin, The;Action Animation Mystery IMAX;(2011)
18114;90249;Real Steel;Action Drama Sci-Fi IMAX;(2011)
18478;91630;Mission: Impossible - Ghost Protocol;Action Adventure Thriller IMAX;(2011)
18781;92819;Flying Swords of Dragon Gate, The (Long men fei jia);Action Adventure IMAX;(2011)
18407;91386;Happy Feet Two;Animation Children Comedy IMAX;(2011)
16588;83349;Green Hornet, The;Action Comedy Crime Fantasy Thriller IMAX;(2011)
16823;84613;Sanctum;Action Adventure Drama Thriller IMAX;(2011)
16919;85056;I Am Number Four;Action Sci-Fi Thriller IMAX;(2011)
16946;85261;Mars Needs Moms;Action Adventure Animation Children Comedy Sci-Fi IMAX;(2011)
16643;83613;Cowboys & Aliens;Action Sci-Fi Thriller Western IMAX;(2011)
20370;99441;Born to Be Wild;Documentary IMAX;(2011)
17288;86880;Pirates of the Caribbean: On Stranger Tides;Action Adventure Fantasy IMAX;(2011)
17216;86644;Fast Five (Fast and the Furious 5, The);Action Crime Drama Thriller IMAX;(2011)
17531;87876;Cars 2;Adventure Animation Children Comedy IMAX;(2011)
17608;88125;Harry Potter and the Deathly Hallows: Part 2;Action Adventure Drama Fantasy Mystery IMAX;(2011)
17406;87306;Super 8;Mystery Sci-Fi Thriller IMAX;(2011)
17381;87222;Kung Fu Panda 2;Action Adventure Animation Children Comedy IMAX;(2011)
17463;87520;Transformers: Dark of the Moon;Action Adventure Sci-Fi War IMAX;(2011)
17926;89470;Contagion;Sci-Fi Thriller IMAX;(2011)
17001;85510;Sucker Punch;Action Fantasy Thriller IMAX;(2011)
17799;88932;Final Destination 5;Horror Thriller IMAX;(2011)
17138;86332;Thor;Action Adventure Drama Fantasy IMAX;(2011)
19894;97709;Tai Chi Zero;Action Fantasy Sci-Fi IMAX;(2012)
19906;97752;Cloud Atlas;Drama Sci-Fi IMAX;(2012)
20301;99143;Cirque du Soleil: Worlds Away;Fantasy IMAX;(2012)
21446;103361;Back to 1942 ;Drama IMAX;(2012)
20304;99149;Mis�rables, Les;Drama Musical Romance IMAX;(2012)
19484;96079;Skyfall;Action Adventure Thriller IMAX;(2012)
19890;97701;Paranormal Activity 4;Horror IMAX;(2012)
21542;103651;Tai Chi Hero;Action Comedy Drama Fantasy Sci-Fi IMAX;(2012)
20064;98243;Rise of the Guardians;Adventure Animation Children Fantasy IMAX;(2012)
19790;97172;Frankenweenie;Animation Comedy Horror IMAX;(2012)
21068;102028;To the Arctic;Documentary IMAX;(2012)
20052;98203;Twilight Saga: Breaking Dawn - Part 2, The;Adventure Drama Fantasy Romance IMAX;(2012)
20693;100469;Chinese Zodiac (Armour of God III) (CZ12);Action Adventure IMAX;(2012)
19972;97938;Life of Pi;Adventure Drama IMAX;(2012)
19646;96691;Resident Evil: Retribution;Action Horror Sci-Fi IMAX;(2012)
20212;98809;Hobbit: An Unexpected Journey, The;Adventure Fantasy IMAX;(2012)
19039;94018;Battleship;Action Sci-Fi Thriller IMAX;(2012)
22895;108237;HOUBA! On the Trail of the Marsupilami (Sur la piste du Marsupilami);Adventure Children Comedy IMAX;(2012)
19134;94478;Dark Shadows;Comedy Horror IMAX;(2012)
18866;93272;Dr. Seuss' The Lorax;Animation Fantasy Musical IMAX;(2012)
18883;93363;John Carter;Action Adventure Sci-Fi IMAX;(2012)
18982;93766;Wrath of the Titans;Action Adventure Fantasy IMAX;(2012)
19345;95510;Amazing Spider-Man, The;Action Adventure Sci-Fi IMAX;(2012)
19315;95307;Rock of Ages;Comedy Drama Musical IMAX;(2012)
19183;94777;Men in Black III (M.III.B.) (M.I.B.�);Action Comedy Sci-Fi IMAX;(2012)
19206;94864;Prometheus;Action Horror Sci-Fi IMAX;(2012)
19265;95105;Madagascar 3: Europe's Most Wanted;Adventure Animation Children Comedy IMAX;(2012)
18441;91529;Dark Knight Rises, The;Action Adventure Crime IMAX;(2012)
18444;91535;Bourne Legacy, The;Action Adventure Drama Thriller IMAX;(2012)
17997;89745;Avengers, The;Action Adventure Sci-Fi IMAX;(2012)
18749;92681;Journey 2: The Mysterious Island;Action Adventure Comedy Sci-Fi IMAX;(2012)
18573;91974;Underworld: Awakening;Action Fantasy Horror IMAX;(2012)
25012;115669;Young Detective Dee: Rise of the Sea Dragon (Di Renjie: Shen du long wang);Action Adventure Drama Fantasy Mystery IMAX;(2013)
25358;116529;Stalingrad;Action Drama War IMAX;(2013)
21728;104312;Mortal Instruments: City of Bones, The;Action Adventure Drama IMAX;(2013)
21886;104841;Gravity;Action Sci-Fi IMAX;(2013)
21707;104243;Riddick;Action Sci-Fi Thriller IMAX;(2013)
21683;104129;Man of Tai Chi;Action IMAX;(2013)
22251;106072;Thor: The Dark World;Action Adventure Fantasy IMAX;(2013)
22226;106002;Ender's Game;Action Adventure Sci-Fi IMAX;(2013)
22091;105504;Captain Phillips;Adventure Drama Thriller IMAX;(2013)
22009;105248;Metallica: Through the Never;Action Musical IMAX;(2013)
20805;101112;Oz the Great and Powerful;Action Adventure Fantasy IMAX;(2013)
20797;101076;G.I. Joe: Retaliation;Action Adventure Sci-Fi Thriller IMAX;(2013)
20788;101025;Jack the Giant Slayer;Adventure Fantasy IMAX;(2013)
20772;100882;Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei);Adventure Comedy Fantasy Romance IMAX;(2013)
21019;101864;Oblivion;Action Adventure Sci-Fi IMAX;(2013)
20587;100163;Hansel & Gretel: Witch Hunters;Action Fantasy Horror IMAX;(2013)
20701;100498;Good Day to Die Hard, A;Action Crime Thriller IMAX;(2013)
21442;103339;White House Down;Action Drama Thriller IMAX;(2013)
21441;103335;Despicable Me 2;Animation Children Comedy IMAX;(2013)
21410;103253;Elysium;Action Drama Sci-Fi IMAX;(2013)
21409;103249;World War Z;Action Drama Horror IMAX;(2013)
21402;103228;Pacific Rim;Action Adventure Sci-Fi IMAX;(2013)
21455;103384;Lone Ranger, The;Action Adventure Western IMAX;(2013)
21101;102125;Iron Man 3;Action Sci-Fi Thriller IMAX;(2013)
21088;102088;Grandmaster, The (Yi dai zong shi);Action Drama IMAX;(2013)
21197;102445;Star Trek Into Darkness;Action Adventure Sci-Fi IMAX;(2013)
21346;103042;Man of Steel;Action Adventure Fantasy Sci-Fi IMAX;(2013)
21295;102880;After Earth;Action Adventure Sci-Fi IMAX;(2013)
21246;102716;Fast & Furious 6 (Fast and the Furious 6, The);Action Crime Thriller IMAX;(2013)
22810;107953;Dragon Ball Z: Battle of Gods;Action Animation Fantasy IMAX;(2013)
22384;106489;Hobbit: The Desolation of Smaug, The;Adventure Fantasy IMAX;(2013)
22383;106487;The Hunger Games: Catching Fire;Action Adventure Sci-Fi IMAX;(2013)
23882;111659;Maleficent;Action Adventure Children IMAX;(2014)
23916;111759;Edge of Tomorrow;Action Sci-Fi IMAX;(2014)
23374;109850;Need for Speed;Action Crime Drama IMAX;(2014)
23452;110102;Captain America: The Winter Soldier;Action Adventure Sci-Fi IMAX;(2014)
23461;110127;Noah;Adventure Drama IMAX;(2014)
23604;110553;The Amazing Spider-Man 2;Action Sci-Fi IMAX;(2014)
23796;111364;Godzilla;Action Adventure Sci-Fi IMAX;(2014)
23654;110730;Transcendence;Drama Sci-Fi IMAX;(2014)
23013;108689;I, Frankenstein;Action Fantasy Sci-Fi IMAX;(2014)
22880;108188;Jack Ryan: Shadow Recruit;Action Drama Thriller IMAX;(2014)
22881;108190;Divergent;Adventure Romance Sci-Fi IMAX;(2014)
23262;109487;Interstellar;Sci-Fi IMAX;(2014)
23315;109673;300: Rise of an Empire;Action Drama War IMAX;(2014)
23098;108945;RoboCop;Action Crime Sci-Fi IMAX;(2014)
25645;117442;The Monkey King;Action Adventure Children IMAX;(2014)
27547;122886;Star Wars: Episode VII - The Force Awakens;Action Adventure Fantasy Sci-Fi IMAX;(2015)
